iter	Passed	Remaining
0	160	159948
1	162	81014
2	165	54877
3	167	41809
4	170	33995
5	173	28685
6	175	24907
7	177	22047
8	180	19820
9	182	18087
10	185	16659
11	188	15505
12	190	14484
13	193	13612
14	195	12851
15	198	12180
16	200	11596
17	202	11071
18	205	10616
19	208	10192
20	210	9831
21	213	9502
22	216	9185
23	218	8898
24	221	8623
25	223	8381
26	226	8148
27	229	7955
28	232	7768
29	234	7576
30	237	7413
31	239	7240
32	242	7093
33	244	6953
34	247	6819
35	249	6692
36	252	6571
37	255	6459
38	257	6348
39	259	6239
40	262	6138
41	265	6047
42	267	5951
43	269	5862
44	272	5783
45	275	5710
46	277	5636
47	280	5559
48	282	5485
49	285	5420
50	287	5353
51	290	5288
52	298	5338
53	316	5551
54	319	5493
55	322	5428
56	323	5348
57	324	5269
58	325	5196
59	327	5134
60	329	5068
61	331	5009
62	332	4942
63	333	4882
64	335	4820
65	336	4758
66	337	4697
67	338	4643
68	340	4589
69	341	4534
70	342	4481
71	343	4430
72	344	4381
73	346	4331
74	347	4281
75	348	4235
76	349	4193
77	350	4148
78	352	4105
79	353	4061
80	354	4019
81	355	3982
82	356	3936
83	357	3898
84	358	3858
85	359	3822
86	361	3788
87	362	3755
88	363	3721
89	364	3687
90	365	3655
91	367	3625
92	368	3594
93	369	3562
94	370	3531
95	371	3501
96	373	3472
97	374	3444
98	375	3416
99	376	3388
100	377	3360
101	378	3333
102	380	3309
103	380	3282
104	381	3255
105	382	3229
106	383	3203
107	384	3178
108	386	3157
109	387	3134
110	388	3111
111	389	3087
112	390	3064
113	391	3042
114	392	3021
115	393	3002
116	394	2978
117	395	2957
118	396	2935
119	397	2915
120	398	2897
121	400	2878
122	401	2860
123	402	2842
124	403	2823
125	404	2806
126	405	2788
127	406	2771
128	407	2754
129	409	2737
130	410	2720
131	411	2704
132	412	2689
133	413	2673
134	414	2657
135	415	2641
136	416	2626
137	418	2611
138	419	2598
139	420	2584
140	421	2569
141	422	2553
142	423	2539
143	425	2526
144	426	2515
145	427	2501
146	429	2489
147	430	2476
148	431	2463
149	432	2452
150	433	2440
151	435	2427
152	436	2414
153	437	2401
154	438	2389
155	439	2379
156	441	2370
157	442	2358
158	443	2347
159	445	2336
160	445	2323
161	447	2312
162	448	2301
163	449	2292
164	451	2283
165	452	2274
166	454	2264
167	455	2254
168	456	2244
169	457	2235
170	459	2226
171	460	2216
172	461	2208
173	463	2199
174	465	2193
175	466	2185
176	467	2175
177	469	2169
178	471	2160
179	472	2150
180	473	2141
181	474	2134
182	476	2126
183	477	2117
184	478	2107
185	479	2097
186	480	2088
187	481	2080
188	482	2071
189	483	2061
190	484	2052
191	485	2043
192	486	2034
193	487	2025
194	488	2017
195	489	2008
196	490	2000
197	491	1991
198	492	1982
199	493	1974
200	494	1966
201	495	1957
202	496	1950
203	497	1942
204	498	1934
205	499	1926
206	500	1918
207	501	1910
208	502	1902
209	503	1895
210	505	1888
211	505	1880
212	506	1873
213	507	1865
214	508	1858
215	509	1850
216	511	1844
